epoch,train_loss,valid_loss,valid_auc,backbone_lr,head_lr
1,1.029042637559603,0.9741312333942359,0.8323228980780064,1e-05,0.0001
2,0.8987837154100526,0.907662800700147,0.869879049783797,1e-05,0.0001
3,0.8372104444998615,0.8495358104814477,0.8825006270082318,1e-05,0.0001
4,0.7486457272205712,0.9511958605801271,0.8726799054038261,1e-05,0.0001
5,0.7265641173416714,0.9123275615983307,0.8744381546655322,1e-05,0.0001
6,0.6882898620479512,0.8852256630757335,0.8763815519077465,1e-05,0.0001
7,0.6290624055097688,0.9141839499780141,0.8855903660021037,5e-06,5e-05
8,0.5845646985431887,1.0136568998232587,0.880504705516228,5e-06,5e-05
9,0.5499884134598498,1.0692349646140398,0.879305839514781,5e-06,5e-05
10,0.542568647263185,0.9971626007211486,0.875103899531615,5e-06,5e-05
11,0.4827751215853781,1.0999027572385573,0.8768595225808314,2.5e-06,2.5e-05
12,0.46527878079774243,1.1402412818487844,0.8802433973735249,2.5e-06,2.5e-05
13,0.43741939002163005,1.1556699676183355,0.8795474510638132,2.5e-06,2.5e-05
14,0.4489880599953094,1.326068684409257,0.8728414174719291,1.25e-06,1.25e-05
15,0.4462084498720349,1.2115935151072523,0.876398622288928,1.25e-06,1.25e-05
