epoch,train_loss,valid_loss,valid_auc,backbone_lr,head_lr
1,1.080889102332997,1.0514080757429836,0.8096403008063784,1e-05,0.0001
2,0.9616318626043932,0.9598264253790775,0.838768936633432,1e-05,0.0001
3,0.9204148595692977,0.9388981341164241,0.851792324368757,1e-05,0.0001
4,0.8816731982501048,0.9750542461314375,0.8444691308418456,1e-05,0.0001
5,0.8538593323770559,0.9230661231730951,0.8518619189997282,1e-05,0.0001
6,0.8471992470678293,0.9810670324945032,0.8480368405088023,1e-05,0.0001
7,0.8262385852921684,0.9170640256877683,0.8549122648062578,5e-06,5e-05
8,0.7983850993930169,0.9286754099922601,0.8545038887641438,5e-06,5e-05
9,0.7979742090387164,0.9316088021467216,0.8528625059582197,5e-06,5e-05
10,0.7616702147992153,0.959392015051705,0.8516400040443672,5e-06,5e-05
11,0.7304747620213706,1.0058873872400014,0.8459936471919879,2.5e-06,2.5e-05
12,0.7695116527935244,0.9814438713377709,0.8493827744096603,2.5e-06,2.5e-05
13,0.7513479300624919,0.9731699656745727,0.8554926577664327,2.5e-06,2.5e-05
14,0.7645343969902902,0.9935136920837991,0.85288482876438,2.5e-06,2.5e-05
15,0.7409942472745787,0.9706397607108455,0.8555622523974038,2.5e-06,2.5e-05
