group,image_name,target,pred,prob_malignant
TP_malignant_correct,ISIC_8617277,1,1,0.9900568127632141
TP_malignant_correct,ISIC_6089318,1,1,0.9877769947052002
TP_malignant_correct,ISIC_4980656,1,1,0.9849012494087219
TP_malignant_correct,ISIC_8692218,1,1,0.9823471307754517
FN_malignant_missed,ISIC_8355446,1,0,8.841557428240776e-05
FN_malignant_missed,ISIC_1968421,1,0,0.008320738561451435
FN_malignant_missed,ISIC_6688417,1,0,0.011963977478444576
FN_malignant_missed,ISIC_6285925,1,0,0.049698639661073685
FP_benign_false_alarm,ISIC_2336763,0,1,0.9980283379554749
FP_benign_false_alarm,ISIC_1892887,0,1,0.9977987408638
FP_benign_false_alarm,ISIC_5485142,0,1,0.996933102607727
FP_benign_false_alarm,ISIC_1436572,0,1,0.9941514134407043
TN_benign_correct,ISIC_9576385,0,0,2.2510469932512933e-08
TN_benign_correct,ISIC_5405889,0,0,3.590376351780833e-08
TN_benign_correct,ISIC_7307339,0,0,6.185076983911131e-08
TN_benign_correct,ISIC_7650064,0,0,7.042297767156924e-08
